         129099 function calls (125737 primitive calls) in 14.450 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:683(BufferingFormatter)
        1    0.000    0.000    0.008    0.008 __init__.py:70(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:725(Filter)
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:762(Filterer)
        7    0.000    0.000    0.000    0.000 __init__.py:767(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:79(DrmEventType)
        1    0.000    0.000    0.000    0.000 __init__.py:834(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:844(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:853(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:882(createLock)
      251    0.001    0.000    0.003    0.000 __init__.py:89(find_spec)
       90    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
        1    0.000    0.000    0.011    0.011 _add_newdocs.py:1(<module>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6520(refer_to_array_attribute)
        1    0.000    0.000    0.035    0.035 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:17(numeric_type_aliases)
       16    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(type_aliases_gen)
       24    0.000    0.000    0.002    0.000 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
       34    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:61(<genexpr>)
       39    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:62(<genexpr>)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:113(_AllCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:143(_AcquireFutures)
        1    0.000    0.000    0.000    0.000 _base.py:314(Future)
      141    0.002    0.000    0.007    0.000 _base.py:317(__init__)
       61    0.000    0.000    0.000    0.000 _base.py:326(_invoke_callbacks)
       61    0.001    0.000    0.002    0.000 _base.py:382(done)
      140    0.000    0.000    0.000    0.000 _base.py:387(__get_result)
        1    0.000    0.000    0.001    0.001 _base.py:4(<module>)
      141    0.003    0.000    4.895    0.035 _base.py:413(result)
        1    0.000    0.000    0.000    0.000 _base.py:45(Error)
      141    0.002    0.000    0.004    0.000 _base.py:478(set_running_or_notify_cancel)
        1    0.000    0.000    0.000    0.000 _base.py:49(CancelledError)
       61    0.001    0.000    0.006    0.000 _base.py:518(set_result)
        1    0.000    0.000    0.000    0.000 _base.py:53(TimeoutError)
        1    0.000    0.000    0.000    0.000 _base.py:550(Executor)
        1    0.000    0.000    0.000    0.000 _base.py:57(InvalidStateError)
